,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
742,Chris Curtis,ActionMan,31.0,11.0,0 (1 NC),"5' 10""",185 lbs.,"75""",Orthodox,"Jul 15, 1987",5.76,51%,6.16,52%,0.0,0%,82%,0.0,31.0,11.0,0.0,70.0,75.5,36.0,"Cincinnati, United States",51%,714 of 1393,,,5.76,0.0,53%,0.48,6.16,0.0,83%,12:24,both
743,Chris Daukaus,156,12.0,7.0,0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1989",6.05,50%,4.64,55%,0.0,0%,100%,0.0,12.0,7.0,0.0,75.0,76.0,33.0,"Philadelphia, United States",50%,154 of 308,0%,,6.05,0.0,55%,3.54,4.64,0.0,100%,03:11,both
745,Chris Dempsey,164,11.0,5.0,0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0,11.0,4.0,0.0,70.0,72.0,35.0,"Sewickley, United States",32%,51 of 157,24%,,2.25,2.64,66%,0.0,2.82,0.0,17%,05:41,both
747,Chris Duncan,The Problem,11.0,2.0,0,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",4.88,46%,3.65,49%,3.85,38%,33%,0.0,11.0,2.0,0.0,70.0,71.5,30.0,Scotland,47%,190 of 405,38%,5 of 26,4.88,3.85,49%,0.39,3.65,0.0,33%,07:47,both
748,Chris Fishgold,232,18.0,4.0,1,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.7,46%,2.59,46%,44%,1.3,18.0,4.0,1.0,68.0,68.0,31.0,"Liverpool, United Kingdom",32%,70 of 217,46%,1 of 13,2.01,2.59,47%,0.0,2.7,1.29,44%,08:42,both
749,Chris Gruetzemacher,Gritz,15.0,5.0,0,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",6.18,57%,4.96,52%,0.21,50%,65%,0.0,15.0,5.0,0.0,68.0,68.0,37.0,"Page, United States",57%,451 of 790,50%,,6.18,0.21,53%,0.0,4.96,0.0,66%,09:45,both
751,Chris Gutierrez,El Guapo,20.0,6.0,2,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",4.8,58%,2.79,63%,0.28,30%,69%,0.1,20.0,5.0,2.0,69.0,67.0,32.0,"Jersey City, United States",58%,759 of 1306,30%,,4.8,0.28,64%,0.47,2.79,0.09,69%,13:11,both
752,Chris Haseman,The Hammer,20.0,17.0,0,"5' 11""",205 lbs.,--,Orthodox,"Jun 02, 1969",0.93,70%,4.67,28%,0.0,0%,40%,2.0,20.0,16.0,0.0,72.0,,54.0,"Brisbane, Australia",70%,14 of 20,,,0.93,0.0,29%,0.0,4.67,2.0,40%,15:00,both
754,Chris Heatherly,Stump,9.0,4.0,0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Nov 24, 1987",1.08,45%,2.67,52%,3.39,50%,100%,0.7,8.0,3.0,0.0,69.0,68.0,35.0,"Cahokia, United States",48%,12 of 25,50%,,1.68,4.21,52%,0.0,8.27,0.0,100%,03:34,both
756,Chris Hofmann,318,9.0,2.0,0,"6' 0""",170 lbs.,"72""",Orthodox,"Nov 18, 1989",4.78,45%,4.63,35%,3.42,42%,0%,0.0,0.0,1.0,0.0,,,33.0,"Pasay, Philippines",45%,63 of 139,43%,,4.78,3.42,36%,1.14,4.63,0.0,,13:10,both
757,Chris Holdsworth,Holds It Down,6.0,0.0,0,"5' 11""",135 lbs.,--,,"Oct 24, 1987",1.85,29%,1.94,58%,3.38,62%,100%,2.0,7.0,0.0,0.0,71.0,71.0,35.0,"Los Angeles, United States",30%,41 of 138,63%,5 of 8,1.85,3.38,58%,0.0,1.94,2.03,100%,11:05,both
760,Chris Indich,The Savage,6.0,4.0,0,"5' 10""",170 lbs.,--,,"Apr 22, 1987",1.31,30%,4.32,43%,0.75,50%,50%,1.5,5.0,3.0,0.0,70.0,,36.0,Australia,31%,26 of 84,50%,,1.31,0.75,43%,0.0,4.32,1.51,50%,09:58,both
763,Chris Kelades,The Greek Assassin,9.0,3.0,0,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981",2.4,43%,2.64,48%,1.04,18%,53%,0.3,9.0,3.0,0.0,67.0,68.0,42.0,"Cole Harbour, Canada",44%,139 of 318,18%,,2.4,1.04,49%,0.0,2.64,0.26,54%,14:29,both
764,Chris Leben,The Crippler,22.0,11.0,0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,42%,2.87,52%,1.14,41%,53%,0.8,22.0,11.0,0.0,71.0,74.0,42.0,"Portland, United States",44%,600 of 1379,41%,,2.89,1.23,52%,0.51,3.07,0.87,54%,08:40,both
767,Chris Lytle,Lights Out,31.0,18.0,5,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4,41.0,18.0,4.0,71.0,,48.0,"Indianapolis, United States",45%,883 of 1948,55%,,3.76,0.7,58%,0.13,3.03,2.36,55%,10:40,both
771,Chris Padilla,Taco,14.0,6.0,0,"5' 9""",155 lbs.,"74""",Orthodox,"Sep 14, 1995",2.64,46%,4.18,52%,9.89,100%,0%,3.3,14.0,6.0,0.0,69.0,76.0,28.0,"Lynwood, United States",46%,12 of 26,100%,3 of 3,2.64,9.89,53%,0.0,4.18,3.3,,04:33,both
772,Chris Price,The Exorcist,19.0,4.0,0,"6' 2""",185 lbs.,--,Southpaw,"Nov 09, 1982",1.44,66%,2.59,48%,0.0,0%,33%,2.2,8.0,2.0,0.0,75.0,,40.0,"Beach Grove, United States",67%,10 of 15,,,1.44,0.0,49%,0.0,2.59,2.16,33%,03:29,both
773,Chris Sanford,682,5.0,1.0,0,"5' 11""",185 lbs.,--,Orthodox,"Mar 12, 1968",0.23,50%,3.22,17%,0.0,0%,0%,3.5,0.0,0.0,0.0,0.0,,55.0,"Pleasant Hill, United States",50%,1 of 2,,,0.23,0.0,18%,0.0,3.22,3.45,,04:21,both
774,Chris Saunders,The So Cal Kid,16.0,8.0,0,"5' 8""",155 lbs.,--,,"Mar 11, 1986",1.48,22%,2.96,75%,3.7,100%,0%,0.0,9.0,3.0,0.0,0.0,,37.0,,,,40%,2 of 5,,,,,,,,,both
776,Chris Spang,The Kiss,6.0,3.0,0,"6' 2""",170 lbs.,--,Orthodox,"Nov 26, 1987",1.83,36%,1.95,60%,0.0,0%,50%,0.9,5.0,2.0,0.0,74.0,,35.0,"Vaxjo, Sweden",9%,5 of 57,,,0.33,0.0,60%,0.0,4.33,0.0,50%,15:00,both
778,Chris Tuchscherer,The Crowbar,21.0,4.0,0 (1 NC),"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",1.35,31%,3.17,47%,1.19,18%,0%,0.6,18.0,4.0,0.0,73.0,,,"Rugby, United States",32%,34 of 107,18%,,1.35,1.19,47%,0.0,3.17,0.59,,06:19,both
779,Chris Wade,817,12.0,3.0,0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987",1.7,53%,1.75,51%,2.6,51%,55%,1.1,12.0,3.0,0.0,70.0,70.0,35.0,"Rockville Centre, United States",54%,137 of 254,52%,,1.7,2.6,52%,0.19,1.75,1.12,55%,11:32,both
780,Chris Weidman,The AllAmerican,16.0,7.0,0,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984",3.18,45%,3.22,51%,3.44,42%,65%,0.8,16.0,7.0,0.0,74.0,78.0,39.0,United States,45%,610 of 1351,43%,36 of 103,3.18,3.44,52%,0.31,3.22,0.78,65%,10:05,both
781,Chris Wilson,The Professor,18.0,10.0,0 (1 NC),"6' 1""",170 lbs.,"75""",Orthodox,"Jun 07, 1977",2.32,50%,1.36,55%,1.31,50%,60%,1.6,13.0,6.0,0.0,73.0,,46.0,"Portland, United States",51%,133 of 261,50%,,2.32,1.31,56%,0.79,1.36,1.57,60%,14:19,both
785,Christian Aguilera,The Beast,14.0,8.0,0,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0.0,0%,60%,0.0,14.0,8.0,0.0,69.0,72.0,31.0,"Whittier, United States",38%,27 of 72,0%,,2.54,0.0,49%,0.0,4.04,0.0,60%,03:33,both
786,Christian Colombo,Godzilla,8.0,3.0,1,"6' 5""",265 lbs.,--,Orthodox,"Jul 01, 1980",2.76,44%,4.02,42%,0.0,0%,33%,0.0,8.0,3.0,1.0,77.0,80.5,43.0,"Copenhagen, Denmark",45%,81 of 181,0%,,2.76,0.0,42%,0.0,4.02,0.0,33%,09:47,both
787,Christian Leroy Duncan,CLD,10.0,1.0,0,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",5.96,62%,3.82,50%,0.45,14%,50%,0.0,10.0,1.0,0.0,74.0,79.0,28.0,United Kingdom,63%,198 of 315,14%,,5.96,0.45,51%,0.45,3.82,0.0,50%,08:18,both
788,Christian Lohsen,Hollywood,4.0,2.0,0,"6' 2""",155 lbs.,"77""",Southpaw,"Jan 24, 1995",5.27,49%,6.93,44%,0.0,0%,0%,2.0,0.0,0.0,0.0,,,28.0,"Lodi, United States",49%,79 of 160,0%,,5.27,0.0,44%,0.0,6.93,2.0,,15:00,both
789,Christian Morecraft,520,8.0,3.0,0,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2,7.0,3.0,0.0,78.0,,36.0,"Washington, United States",34%,78 of 227,67%,,2.82,3.26,46%,0.0,2.46,2.17,50%,06:55,both
790,Christian Ocon,The Don,2.0,1.0,0,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 05, 1996",1.73,53%,5.27,34%,0.0,0%,63%,0.0,4.0,0.0,0.0,68.0,69.0,27.0,"Houston, United States",53%,26 of 49,,,1.73,0.0,35%,0.0,5.27,0.0,64%,15:00,both
791,Christian Rodriguez,647,11.0,1.0,0,"5' 7""",145 lbs.,"71""",Orthodox,"Dec 17, 1997",3.45,48%,2.28,57%,1.14,54%,66%,1.1,11.0,1.0,0.0,67.0,71.5,26.0,"Chicago, United States",48%,273 of 563,55%,2 of 11,3.45,1.14,58%,0.0,2.28,1.14,67%,13:11,both
793,Christian Wellisch,The Hungarian Nightmare,8.0,5.0,0,"6' 2""",234 lbs.,"77""",Orthodox,"Sep 13, 1975",3.12,27%,3.04,56%,1.22,42%,45%,1.2,9.0,4.0,0.0,75.0,,47.0,"Budapest, Hungary",28%,115 of 412,43%,,3.12,1.22,56%,0.41,3.04,1.22,45%,07:23,both
794,Christina Marks,467,8.0,9.0,0,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",5.0,58%,3.0,64%,7.5,100%,0%,0.0,8.0,9.0,0.0,67.0,69.0,37.0,"San Diego, United States",59%,10 of 17,100%,,5.0,7.5,65%,0.0,3.0,0.0,,02:00,both
799,Christos Giagos,The Spartan,20.0,12.0,0,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",3.03,41%,3.21,50%,2.84,36%,52%,0.4,20.0,12.0,0.0,70.0,71.5,34.0,"Azusa, United States",42%,353 of 844,37%,1 of 60,3.03,2.84,51%,0.13,3.21,0.39,52%,08:19,both
801,Chuck Liddell,The Iceman,21.0,8.0,0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0.0,21.0,8.0,0.0,,,53.0,,36%,610 of 1696,75%,,2.97,0.44,57%,1.17,2.71,0.0,81%,08:55,both
802,Chuck ONeil,Cold Steel,17.0,9.0,0,"6' 2""",170 lbs.,--,,"Sep 22, 1985",3.13,37%,4.4,72%,0.0,0%,0%,0.0,8.0,5.0,0.0,74.0,,,United States,38%,47 of 125,0%,,3.13,0.0,72%,0.0,4.4,0.0,,15:00,both
803,Cindy Dandois,Battlecat,8.0,3.0,0,"5' 7""",135 lbs.,--,Orthodox,"Oct 26, 1984",3.13,32%,3.4,58%,5.0,55%,0%,0.0,8.0,3.0,0.0,67.0,,38.0,"Borgerhout, Belgium",32%,47 of 146,56%,5 of 9,3.13,5.0,59%,0.0,3.4,0.0,,15:00,both
804,Ciryl Gane,Bon Gamin,12.0,2.0,0,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.49,60%,2.19,63%,0.58,21%,50%,0.5,12.0,2.0,0.0,76.0,81.0,33.0,"La Roche-sur-Yon, Vendée, France",61%,856 of 1406,21%,,5.49,0.58,63%,0.29,2.19,0.48,50%,14:10,both
805,Claude Patrick,The Prince,14.0,2.0,0,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",1.8,55%,0.89,69%,2.32,53%,84%,1.7,14.0,2.0,0.0,71.0,,43.0,Canada,56%,93 of 167,53%,,1.8,2.32,70%,0.0,0.89,1.74,84%,12:57,both
806,Claudia Gadelha,Claudinha,18.0,5.0,0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7,18.0,5.0,0.0,64.0,63.5,34.0,"Mossoro, Brazil",42%,590 of 1420,43%,31 of 84,3.31,3.03,57%,0.08,4.57,0.67,59%,14:50,both
807,Claudia Leite,425,8.0,3.0,0,"5' 3""",135 lbs.,"64""",Orthodox,"Nov 04, 1996",1.27,47%,1.73,57%,1.0,25%,0%,1.0,0.0,1.0,0.0,,,26.0,,48%,19 of 40,25%,,1.27,1.0,57%,0.0,1.73,1.0,,15:00,both
809,Claudio Puelles,Prince of Peru,13.0,4.0,0,"5' 10""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",1.56,49%,2.78,46%,3.17,36%,60%,1.2,13.0,4.0,0.0,70.0,72.0,27.0,Peru,50%,140 of 282,37%,,1.56,3.17,46%,0.0,2.78,1.17,60%,11:14,both
810,Claudio Ribeiro,637,11.0,5.0,0,"6' 1""",185 lbs.,"77""",Orthodox,"Jul 17, 1992",3.59,51%,4.9,30%,0.56,50%,66%,0.0,11.0,5.0,0.0,73.0,77.0,31.0,"Jundiaí, Brazil",52%,96 of 185,50%,,3.59,0.56,31%,1.12,4.9,0.0,67%,05:21,both
811,Claudio Silva,Hannibal,14.0,4.0,0,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",2.48,42%,3.0,46%,2.85,26%,44%,1.1,14.0,4.0,0.0,71.0,71.0,40.0,"Brasileiro, Brazil",42%,235 of 559,27%,7 of 67,2.48,2.85,46%,0.0,3.0,1.11,44%,11:50,both
813,Clay Collard,Cassius,14.0,7.0,0 (1 NC),"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",4.22,32%,5.0,50%,2.81,39%,71%,0.5,14.0,7.0,0.0,71.0,73.0,30.0,"Payson, United States",32%,248 of 770,39%,11 of 28,4.22,2.81,51%,0.51,5.0,0.51,71%,14:42,both
815,Clay Guida,The Carpenter,38.0,21.0,0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.64,33%,3.01,61%,3.13,36%,67%,0.6,38.0,21.0,0.0,67.0,70.0,41.0,"Round Lake, United States",34%,1280 of 3785,36%,63 of 280,2.64,3.13,61%,0.19,3.01,0.62,68%,12:26,both
816,Clay Harvison,Bushwacker,13.0,6.0,0,"6' 1""",170 lbs.,"74""",Orthodox,"Sep 25, 1980",3.29,48%,3.91,58%,0.66,100%,68%,1.3,9.0,5.0,0.0,72.0,,42.0,United States,48%,75 of 156,100%,,3.29,0.66,59%,0.0,3.91,1.32,68%,07:35,both
818,Clayton Carpenter,117,7.0,0.0,0,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 09, 1996",4.5,51%,2.85,60%,2.47,50%,0%,2.5,7.0,0.0,0.0,66.0,66.0,27.0,United States,52%,82 of 158,50%,,4.5,2.47,61%,0.0,2.85,2.47,,09:07,both
821,Clifford Starks,743,13.0,3.0,0,"6' 0""",185 lbs.,"78""",Orthodox,"Apr 25, 1981",1.94,33%,2.49,58%,1.94,100%,60%,0.0,8.0,2.0,0.0,72.0,,42.0,United States,33%,45 of 136,100%,,1.94,1.94,59%,0.0,2.49,0.0,60%,07:45,both
824,Clint Hester,Headbussa,11.0,6.0,0,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",3.36,42%,3.44,56%,1.02,35%,60%,0.0,11.0,6.0,0.0,74.0,77.0,36.0,"Hattiesburg, United States",43%,248 of 579,36%,,3.36,1.02,57%,0.61,3.44,0.0,60%,10:33,both
827,Cody Brundage,97,10.0,6.0,0,"6' 0""",185 lbs.,"72""",Orthodox,"May 16, 1994",1.62,54%,2.3,43%,2.33,52%,68%,0.9,10.0,6.0,0.0,72.0,72.0,29.0,"Chapin, United States",54%,104 of 192,53%,1 of 19,1.62,2.33,43%,0.47,2.3,0.93,69%,06:26,both
830,Cody Donovan,Donnybrook,8.0,5.0,0,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59%,5.44,45%,1.67,28%,0%,1.7,8.0,5.0,0.0,75.0,74.0,42.0,United States,59%,101 of 171,29%,,5.61,1.67,46%,1.67,5.44,1.67,,04:30,both
831,Cody Durden,197,16.0,5.0,1,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.16,51%,2.89,51%,4.84,50%,66%,0.3,16.0,5.0,1.0,67.0,67.0,33.0,United States,52%,284 of 549,50%,9 of 58,3.16,4.84,51%,0.17,2.89,0.33,67%,09:59,both
832,Cody East,The Freight Train,12.0,3.0,0,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",4.15,43%,7.32,40%,3.97,100%,16%,0.0,12.0,3.0,0.0,75.0,74.0,34.0,United States,43%,47 of 109,100%,,4.15,3.97,40%,0.0,7.32,0.0,17%,05:40,both
834,Cody Garbrandt,No Love,14.0,6.0,0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.98,40%,3.76,60%,1.03,34%,80%,0.0,14.0,6.0,0.0,68.0,65.5,32.0,"Uhrichsville, United States",41%,434 of 1066,34%,5 of 29,2.98,1.03,60%,1.13,3.76,0.0,80%,09:42,both
835,Cody Gibson,The Renegade,20.0,10.0,0,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",4.0,43%,4.08,57%,1.28,28%,68%,0.2,20.0,10.0,0.0,70.0,71.0,36.0,United States,44%,282 of 646,29%,5 of 21,4.0,1.28,57%,0.43,4.08,0.21,68%,11:46,both
836,Cody McKenzie,487,16.0,10.0,0,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,34%,2.5,67%,2.5,25%,14%,2.5,14.0,4.0,0.0,72.0,72.0,35.0,"Cordova, United States",34%,94 of 274,25%,,1.74,2.5,67%,0.0,2.5,2.5,14%,07:43,both
837,Cody Pfister,The Fist,13.0,6.0,1,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",1.41,25%,2.8,51%,2.82,30%,0%,0.0,12.0,6.0,1.0,70.0,73.0,32.0,"Amarillo, United States",26%,60 of 231,31%,,1.41,2.82,52%,0.0,2.8,0.0,,10:38,both
839,Cody Stamann,The Spartan,21.0,6.0,1,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",4.39,47%,3.63,62%,2.34,39%,76%,0.0,21.0,6.0,1.0,66.5,64.5,33.0,"Grand Rapids, United States",48%,704 of 1480,40%,15 of 63,4.39,2.34,63%,0.19,3.63,0.0,76%,12:21,both
840,Colby Covington,Chaos,17.0,4.0,0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",3.88,38%,2.98,55%,3.79,44%,67%,0.2,17.0,4.0,0.0,71.0,72.0,36.0,United States,39%,1062 of 2732,44%,48 of 156,3.88,3.79,55%,0.05,2.98,0.16,68%,17:05,both
841,Cole Escovedo,Apache Kid,17.0,9.0,0,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,43%,4.32,49%,0.43,33%,13%,0.0,17.0,9.0,0.0,68.0,,41.0,United States,43%,123 of 283,33%,,1.77,0.43,49%,0.22,4.32,0.0,13%,08:55,both
842,Cole Miller,Magrinho,21.0,11.0,0 (1 NC),"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.0,33%,3.88,59%,0.6,36%,38%,1.8,21.0,11.0,0.0,73.0,74.0,39.0,"Augusta, United States",33%,605 of 1816,36%,,3.0,0.6,59%,0.3,3.88,1.79,39%,10:05,both
844,Cole Smith,The Cole Train,7.0,2.0,0,"5' 11""",135 lbs.,"67""",Orthodox,"Apr 05, 1989",1.78,35%,1.96,49%,1.67,33%,45%,1.7,7.0,2.0,0.0,71.0,67.0,34.0,"Vancouver, Canada",35%,80 of 226,33%,2 of 15,1.78,1.67,50%,0.0,1.96,1.67,45%,15:00,both
845,Cole Williams,Havoc,11.0,3.0,0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 15, 1983",0.31,27%,5.34,23%,0.0,0%,25%,0.0,11.0,3.0,0.0,72.0,73.0,39.0,"Elkhorn, United States",27%,3 of 11,,,0.31,0.0,24%,0.0,5.34,0.0,25%,04:52,both
846,Colin Fletcher,The Freakshow,14.0,8.0,0,"6' 2""",155 lbs.,--,Orthodox,"Jan 08, 1983",3.1,34%,2.97,62%,0.0,0%,27%,0.0,9.0,3.0,0.0,74.0,,40.0,United Kingdom,35%,93 of 268,0%,,3.1,0.0,62%,0.0,2.97,0.0,27%,15:00,both
847,Colin Robinson,Big C,10.0,12.0,0,"6' 4""",243 lbs.,--,Orthodox,"Nov 27, 1968",6.19,69%,7.91,37%,2.58,100%,50%,5.2,9.0,4.0,0.0,76.0,,54.0,,69%,36 of 52,100%,,6.19,2.58,38%,0.0,7.91,5.16,50%,02:55,both
850,Collin Anglin,34,8.0,3.0,0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,8.0,3.0,0.0,69.0,71.0,30.0,"Southfield, United States",49%,121 of 249,67%,,4.59,2.28,51%,0.0,5.54,0.0,100%,08:47,both
851,Collin Hart,304,6.0,3.0,1,"6' 1""",185 lbs.,--,Orthodox,"Oct 12, 1989",6.33,44%,7.53,51%,2.0,16%,50%,0.0,4.0,2.0,1.0,74.0,,,United States,45%,95 of 212,17%,,6.33,2.0,51%,0.0,7.53,0.0,50%,15:00,both
852,Collin Huckbody,All In,8.0,2.0,0,"6' 3""",185 lbs.,"76""",Orthodox,"Sep 29, 1994",2.05,60%,2.73,42%,10.23,100%,0%,20.4,1.0,0.0,0.0,,,28.0,"Park Rapids, United States",60%,3 of 5,100%,,2.05,10.23,43%,0.0,2.73,20.45,,01:28,both
853,Coltin Cole,The Truth,4.0,5.0,0,--,185 lbs.,--,,"Apr 24, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,34.0,,,,24%,3 of 45,,,,,,,,,both
854,Colton Smith,729,7.0,4.0,0,"6' 0""",155 lbs.,"71""",Orthodox,"Aug 14, 1987",1.64,41%,2.3,51%,4.09,36%,25%,1.4,6.0,4.0,0.0,72.0,,35.0,United States,42%,54 of 130,36%,,1.64,4.09,52%,0.45,2.3,1.36,25%,08:15,both
855,Connor Matthews,The Controller,7.0,2.0,0,"5' 8""",145 lbs.,"71""",Switch,"May 31, 1992",5.3,44%,6.19,56%,2.97,53%,50%,0.7,7.0,2.0,0.0,68.0,71.0,31.0,"Fall River, United States",44%,214 of 485,53%,1 of 15,5.3,2.97,57%,0.0,6.19,0.74,50%,13:27,both
857,Conor McGregor,The Notorious,22.0,6.0,0,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.32,49%,4.66,54%,0.67,55%,66%,0.1,22.0,6.0,0.0,69.0,74.0,34.0,"Dublin, Ireland",50%,599 of 1204,56%,,5.32,0.67,54%,1.73,4.66,0.13,67%,08:02,both
859,Corey Anderson,Overtime,14.0,5.0,0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,14.0,5.0,0.0,75.0,79.0,33.0,"Rockford, United States",46%,721 of 1558,50%,52 of 106,4.43,4.89,59%,0.09,2.22,0.0,83%,10:51,both
860,Corey Hill,The Real Deal,6.0,9.0,0,"6' 4""",155 lbs.,"80""",Orthodox,"Oct 03, 1978",3.57,46%,1.61,70%,3.02,80%,100%,0.0,2.0,2.0,0.0,76.0,,44.0,"Martinsburg, United States",46%,71 of 153,80%,,3.57,3.02,70%,0.0,1.61,0.0,100%,06:38,both
861,Corinne Laframboise,409,8.0,4.0,0,--,125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,34.0,"Longueuil, Canada",,,45%,21 of 47,,,,,,,,00:00,both
864,Cortney Casey,Cast Iron,10.0,10.0,0,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",4.29,39%,4.0,55%,0.39,31%,39%,0.5,10.0,10.0,0.0,67.0,67.0,36.0,"Tucson, United States",39%,816 of 2085,31%,3 of 16,4.29,0.39,55%,0.0,4.0,0.47,40%,12:41,both
867,Cory Hendricks,309,3.0,1.0,0,"6' 3""",205 lbs.,--,Switch,"May 10, 1988",3.13,39%,4.07,42%,0.0,0%,100%,0.0,3.0,1.0,0.0,75.0,,35.0,"Lynden, United States",40%,47 of 118,0%,,3.13,0.0,43%,0.0,4.07,0.0,100%,15:00,both
868,Cory McKenna,Poppins,8.0,3.0,0,"5' 3""",115 lbs.,"58""",Orthodox,"Jul 11, 1999",3.0,40%,3.19,48%,2.22,58%,71%,0.4,8.0,3.0,0.0,63.0,58.5,24.0,Wales,40%,203 of 506,59%,,3.0,2.22,49%,0.0,3.19,0.44,71%,11:17,both
870,Cory Sandhagen,Sandman,17.0,4.0,0,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",5.33,44%,3.4,58%,1.36,33%,64%,0.3,17.0,4.0,0.0,71.0,70.0,32.0,"Aurora, United States",44%,939 of 2112,33%,1 of 48,5.33,1.36,58%,0.34,3.4,0.34,64%,13:34,both
871,Cory Walmsley,Hardcore,8.0,2.0,0,"6' 0""",205 lbs.,--,Orthodox,--,0.79,100%,1.18,50%,0.0,0%,0%,0.0,10.0,1.0,0.0,72.0,,,"St. Paul, United States",100%,2 of 2,,,0.79,0.0,50%,0.0,1.18,0.0,,02:32,both
874,Court McGee,The Crusher,22.0,13.0,0,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.6,37%,3.62,61%,1.84,25%,69%,0.4,22.0,13.0,0.0,71.0,75.5,39.0,"Ogden, United States",37%,1311 of 3531,25%,23 of 138,4.6,1.84,61%,0.16,3.62,0.42,70%,12:57,both
876,Courtney Turner,793,0.0,3.0,0,"6' 2""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,"Metairie, United States",,,21%,4 of 48,,,,,,,,,both
