name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Garrett Gross,11,8,0,69.00,69.00,34,"Du Quoin, United States",46%,89 of 194,0%,,2.39,0.00,46%,0.40,1.67,0.00,52%,12:24
Neil Grove,7,2,0,78.00,,52,"Klerksdorp, South Africa",0%,0 of 3,,,0.00,0.00,,0.00,0.00,14.29,100%,01:03
Kendall Grove,14,9,0,78.00,,40,"Maui, United States",45%,263 of 586,63%,,2.14,0.61,55%,0.24,2.98,2.07,57%,09:28
Chris Gruetzemacher,15,5,0,68.00,68.00,37,"Page, United States",57%,451 of 790,50%,,6.18,0.21,53%,0.00,4.96,0.00,66%,09:45
Vik Grujic,7,5,0,71.00,73.00,26,Australia,48%,85 of 176,33%,,2.24,1.18,42%,0.00,3.39,0.39,27%,09:30
Mike Grundy,12,4,0,67.00,72.00,36,"Wigan, United Kingdom",45%,85 of 188,28%,,2.09,4.06,56%,0.37,4.45,0.37,50%,10:10
Wang Guan,20,1,1,69.00,71.00,37,"Beipiao, China",43%,71 of 164,0%,,4.73,0.00,60%,1.00,3.27,0.00,,15:00
Ning Guangyou,6,4,1,68.00,64.00,41,"Hebei, China",42%,146 of 351,50%,,2.66,1.09,61%,0.00,1.91,0.27,63%,13:45
Nandor Guelmino,11,5,1,75.00,,47,"Vienna, Austria",57%,56 of 99,0%,,4.21,0.00,34%,0.00,3.68,0.00,43%,13:18
Rainn Guerrero,0,1,0,,,31,"Fort Worth, United States",33%,3 of 9,100%,,0.65,3.27,50%,0.00,0.87,0.00,,04:35
Shannon Gugerty,12,6,0,70.00,,41,"San Diego, United States",39%,44 of 112,28%,,1.25,2.13,58%,0.00,1.88,3.41,50%,07:02
Clay Guida,38,21,0,67.00,70.00,41,"Round Lake, United States",34%,1280 of 3785,36%,63 of 280,2.64,3.13,61%,0.19,3.01,0.62,68%,12:26
Melvin Guillard,48,14,3,69.00,68.00,,"New Orleans, United States",41%,478 of 1179,64%,,2.96,1.30,66%,1.21,1.85,0.19,61%,06:57
Marcelo Guimaraes,9,2,1,72.00,,39,"Itapemirimes, Brazil",52%,211 of 406,14%,6 of 43,4.67,1.99,63%,0.00,4.41,0.00,,11:17
Brad Gumm,0,0,0,0.00,,,"Littleton, United States",,,14%,6 of 43,,,,,,,,
John Gunderson,23,8,0,69.00,71.00,44,"Medford, United States",27%,47 of 171,33%,,1.04,1.67,59%,0.00,1.71,2.00,11%,15:00
John Gunther,7,2,0,69.00,72.50,37,"Erie, United States",38%,28 of 74,42%,8 of 19,1.65,7.08,46%,0.00,3.72,0.00,,08:29
Jorge Gurgel,17,8,0,69.00,,46,"Fortaleza, Brazil",33%,356 of 1075,25%,,3.40,0.86,62%,0.00,3.83,0.14,60%,14:58
Fabio Gurgel,0,0,0,0.00,,,"Rio de Janeiro, Brazil",,,25%,,,,,,,,,
Bogdan Guskov,14,3,0,74.98,,30,,,,25%,,,,,,,,,00:00
Gugun Gusman,0,1,0,,,33,,27%,3 of 11,,,0.88,0.00,42%,0.00,6.18,0.00,33%,03:24
Andre Gusmao,5,2,0,74.00,,46,Brazil,44%,51 of 117,0%,,2.79,0.00,61%,0.00,3.28,0.00,60%,09:09
Alexander Gustafsson,18,8,0,77.00,79.00,36,"Arboga, Sweden",41%,751 of 1845,40%,18 of 48,4.03,1.53,51%,0.72,3.53,0.40,84%,10:22
Horacio Gutierrez,3,3,0,70.00,69.00,32,"Guadalajara, Mexico",27%,15 of 56,,,0.86,0.00,47%,0.00,2.91,0.00,50%,08:46
Mando Gutierrez,0,1,0,,,25,"Carpentersville, United States",75%,12 of 16,100%,,0.80,1.00,50%,0.00,1.33,1.00,40%,15:00
Chris Gutierrez,20,5,2,69.00,67.00,32,"Jersey City, United States",58%,759 of 1306,30%,,4.80,0.28,64%,0.47,2.79,0.09,69%,13:11
Mike Guymon,13,5,1,72.00,,48,"Newport Beach, United States",65%,66 of 101,38%,,2.75,1.87,66%,0.00,0.79,1.25,55%,06:01
Chelsea Hackett,0,1,0,,,24,Australia,51%,25 of 49,,,2.58,0.00,47%,0.00,4.85,0.00,57%,09:41
Keith Hackney,0,0,0,0.00,,,"Addison, United States",51%,25 of 49,,,,,,,,,,
Jake Hadley,10,2,0,67.00,70.00,27,"Oldbury, United Kingdom",44%,160 of 362,25%,,3.42,0.32,61%,0.32,3.20,2.24,36%,09:22
Damir Hadzovic,14,7,0,69.00,70.00,36,"Gorzade, Bosnia &amp; Herzegovina",48%,325 of 675,56%,,3.36,0.78,63%,0.31,3.26,0.16,35%,10:44
Bassil Hafez,8,4,1,71.00,72.00,31,United States,26%,32 of 124,15%,3 of 20,2.13,3.00,39%,0.00,5.53,0.00,50%,15:00
Tim Hague,12,5,0,76.00,,40,"Boyle, Canada",48%,97 of 204,33%,,2.79,1.72,46%,0.00,4.14,0.86,86%,06:58
Yazan Hajeh,6,0,0,68.00,73.00,30,,25%,3 of 12,0%,,1.54,0.00,44%,0.00,17.44,0.00,100%,01:57
Ryan Hall,9,2,0,70.00,70.50,38,"Arlington, United States",50%,161 of 322,9%,1 of 11,2.38,0.22,66%,0.44,1.33,2.22,,11:16
Uriah Hall,18,11,0,72.00,79.50,38,Jamaica,49%,634 of 1305,39%,7 of 18,3.23,0.54,54%,0.61,3.85,0.15,64%,10:19
Mark Hall,0,0,0,0.00,,,"Murrieta, United States",,,39%,7 of 18,,,,,,,,
Dennis Hallman,66,14,2,69.00,,,United States,45%,94 of 209,30%,,1.12,1.79,44%,0.18,1.96,2.15,25%,07:28
Piotr Hallmann,15,4,0,69.00,71.00,35,"Gdynia, Poland",46%,281 of 611,44%,,3.98,2.55,59%,0.00,3.17,0.42,71%,11:46
Tony Halme,0,0,0,0.00,,60,"Helsinki, Finland",,,44%,,,,,,,,,
John Halverson,16,6,0,69.00,,50,"Waukee, United States",43%,45 of 104,,,2.94,0.00,48%,0.00,5.29,1.96,67%,07:40
Seohee Ham,16,8,0,62.00,62.00,36,South Korea,40%,252 of 635,0%,,4.20,0.00,61%,0.00,5.15,0.25,67%,15:00
Frank Hamaker,0,0,0,0.00,,,United States,,,0%,,,,,,,,,
Rami Hamed,14,2,0,,,,,,,0%,,,,,,,,,00:00
Matt Hamill,12,5,0,73.00,,46,"Loveland, United States",42%,571 of 1346,34%,,3.69,3.00,61%,0.10,3.80,0.00,92%,10:19
CJ Hamilton,11,5,0,67.00,68.00,36,United States,32%,37 of 116,0%,,2.47,0.00,59%,0.00,3.93,0.00,63%,15:00
Anthony Hamilton,15,9,0,77.00,76.00,43,"Redmond, United States",66%,246 of 375,42%,11 of 26,3.91,2.62,46%,0.24,3.02,0.00,79%,06:17
Jared Hamman,13,6,0,75.00,75.00,41,"Atascadero, United States",41%,280 of 675,22%,,5.52,0.59,55%,0.30,4.44,0.00,31%,07:15
James Hammortree,5,2,0,75.00,,39,"Ocala, United States",31%,29 of 95,50%,,1.93,2.00,44%,0.00,4.13,1.00,100%,15:00
Chad Hanekom,0,1,0,,,33,,48%,11 of 23,0%,,0.73,0.00,33%,0.00,1.47,1.00,71%,15:00
Kay Hansen,7,6,0,62.00,63.00,23,"La Mirada, United States",50%,173 of 343,23%,5 of 31,3.01,1.83,52%,0.00,3.19,0.78,38%,14:22
Nasrat Haqparast,16,5,0,70.00,72.00,26,"Rabat, Morocco",45%,829 of 1851,20%,1 of 15,5.78,0.31,64%,0.73,5.25,0.00,79%,11:58
Shin Haraguchi,2,0,0,,,24,Japan,70%,64 of 91,80%,,2.99,14.01,39%,0.00,0.65,0.00,,10:43
Janay Harding,3,2,0,0.00,,28,,,,80%,,,,,,,,,00:00
Antoni Hardonk,8,6,0,76.00,,47,United States,61%,174 of 283,0%,,3.40,0.00,47%,0.88,3.07,0.88,40%,06:24
George Hardwick,0,1,0,,,26,"Middlesbrough, United Kingdom",39%,54 of 139,,,3.60,0.00,71%,0.00,4.60,0.00,83%,15:00
Greg Hardy,7,5,0,77.00,80.00,34,"Clarksdale, United States",50%,363 of 721,33%,,4.79,0.20,56%,0.59,3.31,0.00,64%,06:19
Dan Hardy,25,10,0,72.00,72.00,41,"Nottingham, United Kingdom",35%,304 of 860,35%,,2.46,0.73,51%,0.36,3.44,0.36,35%,12:22
Josiah Harrell,7,3,0,67.00,68.00,24,United States,,,35%,,,,,,,,,00:00
Gerald Harris,16,3,0,71.00,,43,"Tulsa, United States",26%,56 of 216,57%,,1.22,2.62,63%,0.66,2.10,0.00,73%,11:27
Gerry Harris,1,4,0,80.00,,,United States,,,57%,,,,,,,,,
Walt Harris,13,10,0,77.00,77.00,40,"Birmingham, United States",39%,317 of 809,29%,1 of 7,3.05,0.29,55%,1.30,3.33,0.14,70%,06:30
Phil Harris,22,12,0,64.00,64.00,40,United Kingdom,27%,100 of 375,22%,,2.34,1.76,68%,0.00,3.16,0.00,60%,08:32
Carlston Harris,19,5,0,72.00,76.00,36,"Skeldon, Guyana",50%,107 of 215,29%,,2.93,2.05,53%,0.41,2.44,0.82,56%,07:18
Collin Hart,4,2,1,74.00,,,United States,45%,95 of 212,17%,,6.33,2.00,51%,0.00,7.53,0.00,50%,15:00
Dale Hartt,6,2,0,68.00,,44,"Bangor, United States",35%,14 of 40,100%,,1.14,1.22,66%,0.00,1.55,2.45,25%,04:05
Clay Harvison,9,5,0,72.00,,42,United States,48%,75 of 156,100%,,3.29,0.66,59%,0.00,3.91,1.32,68%,07:35
Chris Haseman,20,16,0,72.00,,54,"Brisbane, Australia",70%,14 of 20,,,0.93,0.00,29%,0.00,4.67,2.00,40%,15:00
Hayder Hassan,6,3,0,70.00,70.00,40,United States,46%,18 of 39,0%,,2.11,0.00,48%,0.00,3.16,0.00,25%,05:25
Ahmad Hassanzada,0,1,0,,,26,,34%,31 of 90,22%,,2.59,2.50,40%,0.00,4.42,0.00,,11:59
John Hathaway,17,2,0,73.00,75.50,36,"Brighton, United Kingdom",40%,410 of 1013,44%,21 of 48,3.40,2.61,62%,0.25,1.80,0.87,61%,13:24
Phil Hawes,12,5,0,72.00,77.50,33,"Little Ferry, United States",60%,328 of 549,36%,6 of 25,5.55,2.28,56%,0.76,3.70,0.25,100%,06:34
Tommy Hayden,8,2,0,69.00,,35,United States,27%,13 of 48,33%,,1.48,3.42,55%,1.71,2.05,0.00,67%,04:23
Josh Haynes,9,7,0,69.00,,45,"Grants Pass, United States",22%,40 of 178,18%,,1.25,0.94,53%,0.47,4.03,0.00,43%,10:40
Dustin Hazelett,14,7,0,73.00,77.00,37,"Louisa, United States",40%,122 of 302,50%,,2.24,0.55,47%,0.00,3.51,4.14,25%,05:26
James Head,9,4,0,73.00,,39,United States,49%,101 of 208,100%,,2.75,0.41,50%,0.41,3.11,0.82,67%,07:20
Pat Healy,31,19,0,72.00,,39,United States,37%,551 of 1495,37%,,2.57,3.08,50%,0.00,2.57,1.05,56%,13:24
David Heath,9,3,0,71.00,,47,"Nowata, United States",30%,68 of 226,50%,,1.48,0.33,49%,0.00,5.16,0.98,57%,09:11
Chris Heatherly,8,3,0,69.00,68.00,35,"Cahokia, United States",48%,12 of 25,50%,,1.68,4.21,52%,0.00,8.27,0.00,100%,03:34
Jake Hecht,11,4,0,72.00,,39,United States,48%,72 of 151,38%,,3.26,2.04,56%,0.00,2.76,0.00,40%,07:22
Nick Hein,14,5,0,69.00,66.50,39,"Elsdorf, Germany",35%,276 of 787,33%,5 of 18,2.65,0.86,60%,0.29,3.61,0.00,83%,13:01
Ian Heinisch,14,5,0,71.00,72.00,34,"Denver, United States",50%,286 of 568,17%,1 of 35,3.25,1.02,59%,0.34,2.98,0.68,60%,11:00
Marcin Held,23,7,0,69.00,71.50,31,"Tychy, Poland",35%,129 of 371,47%,12 of 32,1.41,2.46,47%,0.00,2.02,1.31,38%,15:13
Delson Heleno,23,7,0,71.00,,45,Brazil,75%,3 of 4,0%,,0.69,0.00,19%,0.00,4.83,0.00,,04:21
Benson Henderson,23,5,0,69.00,70.00,39,United States,46%,952 of 2088,46%,,2.93,2.40,64%,0.18,1.79,0.79,64%,16:13
Dan Henderson,32,15,0,71.00,74.00,52,"Downey, United States",47%,1082 of 2301,53%,,2.44,1.52,52%,0.71,2.70,0.34,58%,11:39
Josh Hendricks,18,5,0,74.00,,46,"Mansfield, United States",20%,1 of 5,,,0.98,0.00,29%,0.00,11.80,0.00,,01:01
Cory Hendricks,3,1,0,75.00,,35,"Lynden, United States",40%,47 of 118,0%,,3.13,0.00,43%,0.00,4.07,0.00,100%,15:00
Johny Hendricks,18,8,0,69.00,69.00,40,"Edmond, United States",46%,942 of 2063,47%,61 of 147,3.49,3.83,53%,0.44,3.99,0.33,64%,11:45
Luis Henrique,10,4,0,74.00,74.00,29,,44%,132 of 303,37%,11 of 41,1.81,3.09,47%,0.00,2.22,1.03,50%,12:08
José Henrique,0,1,0,,,21,"Manaus, Brazil",44%,37 of 85,,,3.45,0.00,39%,0.00,5.79,0.00,,10:43
Danny Henry,12,4,0,72.00,73.00,34,"Edinburgh, United Kingdom",52%,105 of 202,33%,1 of 3,5.20,0.74,46%,1.49,4.16,2.23,50%,05:03
Victor Henry,23,6,0,67.00,68.00,36,United States,55%,415 of 758,0%,,8.26,0.00,47%,0.00,5.95,0.60,79%,12:34
Jai Herbert,12,5,1,73.00,77.00,35,"Wolverhampton, United Kingdom",41%,202 of 492,10%,,2.69,0.20,46%,0.60,3.15,0.00,58%,10:43
Dave Herman,21,6,0,76.00,76.00,38,United States,61%,150 of 247,100%,,4.98,1.49,49%,1.00,3.78,0.00,58%,05:02
Ed Herman,27,16,0,74.00,77.00,42,"Vancouver, United States",48%,861 of 1778,48%,32 of 71,3.31,1.96,43%,0.23,3.71,1.04,59%,09:38
Jack Hermansson,23,8,0,73.00,77.50,35,"Uddevalla, Sweden",44%,878 of 1988,30%,6 of 64,5.13,1.66,55%,0.00,3.69,0.44,75%,10:42
Anthony Hernandez,11,2,0,72.00,75.00,29,"Oakland, United States",62%,268 of 431,57%,,4.33,6.79,47%,0.24,3.36,2.91,63%,07:44
Junior Hernandez,14,6,0,69.00,,36,United States,29%,44 of 154,,,2.72,0.00,65%,0.00,5.51,0.00,,08:05
Noe Hernandez,0,0,0,0.00,,,United States,29%,44 of 154,,,,,,,,,,
Nohelin Hernandez,10,4,0,70.00,71.00,29,"Gilroy, United States",34%,28 of 82,50%,1 of 2,1.32,0.71,53%,0.00,2.63,0.00,38%,10:38
Alexander Hernandez,14,7,0,69.00,72.00,30,"St. Louis, United States",42%,522 of 1253,31%,4 of 29,4.63,1.20,56%,0.40,4.90,0.13,60%,09:24
Carlos Hernandez,9,3,0,68.00,67.00,30,"Chicago, United States",46%,268 of 582,15%,2 of 26,4.95,1.11,47%,0.00,4.54,0.28,66%,10:50
Alvaro Herrera,9,6,0,73.00,74.00,33,"Guadalajara, Mexico",38%,25 of 65,,,1.89,0.00,55%,1.13,3.40,1.13,33%,03:19
Geane Herrera,9,3,0,65.00,66.00,33,"Duarte, United States",31%,82 of 263,38%,,1.51,0.83,53%,0.28,5.07,0.55,38%,13:37
Paul Herrera,0,0,0,0.00,,,United States,,,38%,,,,,,,,,
Felice Herrig,14,10,0,65.00,65.00,38,"Chicago, United States",38%,425 of 1131,29%,7 of 28,3.84,1.08,48%,0.00,5.19,0.81,75%,11:05
Heath Herring,28,14,0,76.00,,45,"Waco, United States",42%,172 of 412,83%,,2.29,1.00,55%,1.00,5.81,0.20,33%,15:00
Jon Hess,0,0,0,0.00,,,"Encinitas, United States",,,83%,,,,,,,,,
Clint Hester,11,6,0,74.00,77.00,36,"Hattiesburg, United States",43%,248 of 579,36%,,3.36,1.02,57%,0.61,3.44,0.00,60%,10:33
Jimy Hettes,11,3,0,70.00,71.00,36,"Kingston, United States",57%,220 of 384,45%,22 of 49,3.47,5.20,58%,0.00,3.50,1.42,62%,10:34
Jay Hieron,23,7,0,72.00,,46,United States,33%,74 of 226,60%,,1.66,4.05,62%,0.67,1.89,1.01,67%,09:18
Brady Hiestand,8,2,0,68.00,71.00,24,"Spokane, United States",52%,130 of 249,46%,6 of 26,2.93,4.06,54%,0.00,3.65,0.34,43%,14:47
Jason High,19,5,0,68.00,73.00,41,"Kansas City, United States",35%,42 of 119,80%,,1.01,2.89,48%,0.00,2.87,3.26,38%,08:18
Richie Hightower,7,2,0,69.00,,48,"Phoenix, United States",36%,20 of 56,100%,,4.62,3.46,21%,0.00,6.92,0.00,100%,04:20
Tyler Hill,6,1,0,75.00,77.00,,"Memphis, United States",39%,26 of 66,0%,,3.64,0.00,47%,0.00,5.33,0.00,,07:08
Corey Hill,2,2,0,76.00,,44,"Martinsburg, United States",46%,71 of 153,80%,,3.57,3.02,70%,0.00,1.61,0.00,100%,06:38
Kailan Hill,0,0,0,,,28,"Los Banos, United States",53%,39 of 73,43%,,2.60,3.00,38%,0.00,4.80,0.00,,15:00
Angela Hill,16,13,0,63.00,64.50,38,"Clinton, United States",50%,1896 of 3783,34%,3 of 50,5.44,0.73,61%,0.13,4.94,0.09,76%,14:31
Jamahal Hill,12,1,0,76.00,79.00,32,"Chicago, United States",55%,608 of 1115,,,7.31,0.00,48%,0.72,3.35,0.00,73%,09:14
Branden Lee Hinkle,14,7,0,74.00,,49,"Jefferson, United States",69%,36 of 52,57%,,2.61,4.34,26%,0.00,3.91,4.34,67%,04:36
Hatsu Hioki,27,8,2,71.00,70.00,39,Japan,42%,300 of 708,57%,,2.42,2.55,66%,0.00,2.12,0.61,54%,13:45
Kuniyoshi Hironaka,11,5,0,70.00,,47,Japan,44%,66 of 151,32%,,1.43,2.60,55%,0.32,5.13,0.97,25%,11:33
Mizuto Hirota,19,10,2,67.00,67.50,42,"Nagasaki, Japan",41%,408 of 1005,50%,9 of 22,3.36,1.36,55%,0.00,3.50,0.12,59%,13:29
Matt Hobar,9,3,0,70.00,70.00,36,"Dallas, United States",42%,106 of 251,44%,,3.23,3.66,53%,0.46,4.27,0.00,50%,10:56
Bobby Hoffman,26,4,0,74.00,,56,"Centerville, United States",70%,26 of 37,50%,,2.02,1.17,19%,1.17,1.32,1.17,,06:26
Chris Hofmann,0,1,0,,,33,"Pasay, Philippines",45%,63 of 139,43%,,4.78,3.42,36%,1.14,4.63,0.00,,13:10
Sam Hoger,6,3,0,75.00,,42,"Eagle River, United States",25%,72 of 288,38%,,1.07,1.12,57%,0.22,2.25,1.34,29%,13:25
Andrew Holbrook,12,2,0,71.00,70.00,37,"Adrian, United States",49%,78 of 158,18%,2 of 11,2.20,0.85,54%,0.00,3.00,2.12,10%,07:05
Chris Holdsworth,7,0,0,71.00,71.00,35,"Los Angeles, United States",30%,41 of 138,63%,5 of 8,1.85,3.38,58%,0.00,1.94,2.03,100%,11:05
Frank Holland,,,,69.00,70.00,34,,,,63%,5 of 8,,,,,,,,
Kevin Holland,25,10,0,75.00,81.00,30,"Riverside, United States",49%,1020 of 2070,39%,,4.39,0.78,52%,0.32,3.22,0.52,53%,11:04
Roger Hollett,13,5,0,71.00,,44,Canada,47%,55 of 116,29%,,1.83,1.00,34%,0.00,6.47,0.00,30%,15:00
Max Holloway,25,7,0,71.00,69.00,31,"Waianae, United States",48%,3197 of 6714,53%,4 of 15,7.17,0.27,60%,0.34,4.75,0.34,84%,15:56
Holly Holm,15,6,0,68.00,69.00,41,"Albuquerque, United States",41%,803 of 1963,31%,6 of 49,3.21,0.90,56%,0.12,2.79,0.06,79%,16:42
Rex Holman,4,2,0,74.00,,,"Columbus, United States",34%,11 of 32,0%,,2.75,0.00,41%,0.00,7.25,0.00,100%,04:00
Joseph Holmes,8,4,0,76.00,80.00,27,"Montgomery, United States",53%,116 of 217,40%,,2.88,1.49,55%,0.37,3.08,0.75,50%,08:03
Kurt Holobaugh,21,7,0,71.00,70.00,36,United States,44%,339 of 770,36%,2 of 11,4.89,0.87,49%,0.43,4.44,1.08,50%,09:54
Paddy Holohan,12,2,1,70.00,69.00,35,"Dublin, Ireland",46%,122 of 263,48%,,2.13,2.88,46%,0.26,2.81,1.31,71%,11:27
Mark Holst,8,3,0,72.00,,37,"Ottawa, Canada",19%,5 of 26,100%,,0.25,0.76,48%,0.00,1.67,2.28,60%,09:53
Scott Holtzman,14,6,0,69.00,69.00,39,"Knoxville, United States",48%,723 of 1511,57%,18 of 37,4.32,1.88,55%,0.36,3.66,0.18,67%,12:52
Sabah Homasi,11,8,0,72.00,72.00,34,"New Brunswick, United States",48%,80 of 165,50%,3 of 6,4.98,2.80,48%,0.00,6.91,0.00,67%,05:58
Mark Hominick,20,12,0,68.00,,40,"Thamesford, Canada",43%,461 of 1064,67%,,4.20,0.27,70%,0.55,4.54,0.41,71%,09:09
Barb Honchak,10,5,0,64.00,65.50,43,"Alton, United States",30%,95 of 316,0%,,4.04,0.00,66%,0.00,4.67,1.27,,11:46
JunYoung Hong,0,1,0,,,32,,40%,53 of 134,,,3.53,0.00,54%,0.00,3.27,0.00,40%,15:00
SeongChan Hong,0,1,0,,,33,South Korea,56%,15 of 27,0%,,6.57,0.00,47%,0.00,8.76,0.00,,02:17
Satoshi Honma,0,0,0,0.00,,55,Japan,,,0%,,,,,,,,,
David Hood,0,0,0,0.00,,,"Lowell, United States",,,0%,,,,,,,,,
Lorenzo Hood,0,1,0,75.00,80.00,34,United States,62%,13 of 21,,,2.64,0.00,12%,0.00,4.66,0.00,100%,04:56
Dan Hooker,23,12,0,72.00,75.00,33,"Aukland, New Zealand",49%,1066 of 2182,34%,3 of 32,5.08,0.79,51%,0.64,4.76,0.36,81%,09:59
Chase Hooper,13,3,1,73.00,74.00,24,"Enumclaw, United States",52%,462 of 896,23%,1 of 40,4.86,1.42,36%,0.00,3.59,2.21,56%,10:34
Darrell Horcher,13,4,0,70.00,72.00,35,"Chicago, United States",45%,89 of 199,50%,1 of 2,2.05,0.35,39%,0.00,4.21,0.69,47%,10:52
Moti Horenstein,0,0,0,0.00,,,"Spring Valley, United States",,,50%,1 of 2,,,,,,,,
Yoshinori Horie,0,1,0,,,28,,49%,39 of 79,0%,,2.76,0.00,48%,0.00,5.65,0.00,,14:09
Kyoji Horiguchi,18,2,0,64.00,66.00,32,"Gumma, Japan",45%,406 of 900,44%,,3.60,2.00,62%,0.53,2.45,0.00,55%,14:05
Yuma Horiuchi,0,1,0,,,25,Japan,30%,56 of 185,17%,,3.73,2.00,35%,0.00,5.00,2.00,,15:00
Jeremy Horn,88,19,5,74.00,,47,"Omaha, United States",36%,90 of 248,13%,,1.34,0.45,55%,0.00,3.87,1.56,30%,09:38
Jamey-Lyn Horth,6,1,0,67.00,67.00,33,"Vancouver, Canada",62%,119 of 191,25%,,3.97,0.50,58%,0.00,3.53,0.00,70%,15:00
Matt Horwich,24,11,1,74.00,,44,"Seattle, United States",63%,40 of 63,0%,,1.33,0.00,38%,0.00,3.23,4.00,28%,15:00
Saeed Hosseini,0,0,0,0.00,,,United States,,,0%,,,,,,,,,
Jeff Hougland,10,6,0,67.00,,44,United States,49%,97 of 200,19%,,1.86,0.86,48%,0.00,3.46,1.15,,13:01
Brian Houston,4,2,0,74.00,78.00,36,United States,36%,30 of 84,100%,,1.90,0.95,53%,0.00,3.67,0.00,88%,07:54
John Howard,23,12,0,67.00,71.00,40,United States,51%,369 of 727,49%,,2.15,2.70,51%,0.17,3.08,0.44,54%,12:17
Harold Howard,0,0,0,0.00,,,"Niagara Falls, Canada",,,49%,,,,,,,,,
Shane Howell,13,9,0,68.00,69.00,39,United States,33%,22 of 67,,,1.27,0.00,43%,0.00,2.55,0.00,20%,08:39
Carlos Huachin,10,5,1,64.00,67.00,27,"Callao Region, Peru",21%,52 of 242,,,2.10,0.00,50%,0.00,4.80,0.00,67%,12:25
Brady Huang,11,2,0,,,30,"SF, United States",38%,3 of 8,0%,,4.62,0.00,30%,0.00,10.77,0.00,,00:39
Austin Hubbard,16,6,0,70.00,71.00,31,"Sterling, United States",47%,370 of 792,53%,,3.83,1.55,57%,0.00,3.37,0.00,63%,12:04
Collin Huckbody,1,0,0,,,28,"Park Rapids, United States",60%,3 of 5,100%,,2.05,10.23,43%,0.00,2.73,20.45,,01:28
Roger Huerta,22,3,1,69.00,,40,"Los Angeles, United States",37%,333 of 911,46%,,3.64,2.13,57%,0.00,2.33,0.49,53%,11:26
Jeff Hughes,10,4,0,74.00,77.00,35,"Canton, United States",51%,167 of 326,50%,,3.95,0.71,61%,0.35,3.67,0.00,45%,08:27
Mark Hughes,0,0,0,68.00,,49,United States,47%,9 of 19,50%,,0.90,3.00,43%,0.00,0.40,4.50,,10:00
Matt Hughes,46,9,0,69.00,,49,"Hillsboro, United States",53%,436 of 817,50%,,2.14,2.95,54%,0.22,1.36,1.18,35%,08:51
Sam Hughes,8,5,0,65.00,64.00,30,"Davenport, United States",47%,356 of 762,41%,,3.79,1.12,54%,0.00,4.23,0.00,58%,13:25
Victor Hugo,24,4,0,67.00,71.50,30,"Goiânia, Brazil",35%,9 of 26,50%,,1.24,2.06,65%,0.00,1.10,4.13,67%,07:16
Harry Hunsucker,7,6,0,74.00,75.00,34,"Painesville, United States",52%,26 of 50,0%,,3.54,0.00,43%,0.00,6.53,2.04,,01:50
Mark Hunt,13,14,1,70.00,72.00,49,"South Auckland, New Zealand",43%,832 of 1913,56%,7 of 18,2.81,0.51,51%,0.71,2.90,0.20,64%,10:13
Alex Hunter,0,0,0,0.00,,,United States,,,56%,7 of 18,,,,,,,,
Adam Hunter,0,0,0,73.00,73.00,39,"Sault Ste. Marie, Canada",,,56%,7 of 18,,,,,,,,00:00
Solomon Hutcherson,10,2,0,71.00,,50,"Racine, United States",39%,11 of 28,100%,,2.59,3.53,65%,0.00,2.59,0.00,,04:15
Al Iaquinta,14,7,1,70.00,70.00,36,"Wantagh, United States",41%,774 of 1909,19%,8 of 43,4.06,0.63,61%,0.55,4.53,0.24,74%,12:42
Khadis Ibragimov,8,4,0,75.00,78.50,28,"Republic of Dagestan, Russia",50%,164 of 329,30%,3 of 10,3.55,0.97,47%,0.00,4.26,0.32,81%,11:34
Minoki Ichihara,0,0,0,0.00,,,Japan,,,30%,3 of 10,,,,,,,,
Dan Ige,17,7,0,67.00,71.00,32,"San Clemente, United States",45%,790 of 1739,27%,2 of 56,3.76,1.07,57%,0.43,3.53,0.29,59%,13:08
Valeri Ignatov,0,0,0,70.00,,,United States,,,27%,2 of 56,,,,,,,,
Fabiano Iha,12,3,0,68.00,,52,Brazil,47%,36 of 76,40%,,1.73,2.88,43%,0.00,2.49,2.88,50%,05:13
Nassourdine Imavov,12,4,0,75.00,75.00,28,Russia,53%,437 of 824,32%,2 of 22,4.55,1.09,59%,0.00,3.76,1.72,73%,13:44
Brad Imes,6,3,0,79.00,,46,"Maryville, United States",32%,119 of 373,71%,,2.73,1.72,50%,0.00,4.24,1.03,,14:32
Chris Indich,5,3,0,70.00,,36,Australia,31%,26 of 84,50%,,1.31,0.75,43%,0.00,4.32,1.51,50%,09:58
Guto Inocente,6,4,0,75.00,77.00,37,United States,67%,92 of 138,33%,,4.13,0.67,55%,0.00,2.92,0.67,67%,07:25
Naoki Inoue,11,0,0,69.00,71.00,26,"Toyohashi, Japan",35%,110 of 312,0%,,3.67,0.00,61%,0.00,3.37,2.50,60%,15:00
Enson Inoue,0,0,0,0.00,,56,United States,,,0%,,,,,,,,,
Mizuki,15,6,0,63.00,65.50,29,Japan,51%,205 of 403,14%,,4.56,0.33,49%,0.00,5.62,0.00,85%,15:00
James Irvin,14,7,0,74.00,,44,"Citrus Heights, United States",49%,59 of 121,0%,,2.05,0.00,35%,1.56,3.89,0.52,37%,02:53
Issa Isakov,,,,,,,,,,0%,,,,,,,,,
